songtitle,score,isBreakup
Picture to Burn,7.3,TRUE
Cold as You,9.5,TRUE
Stay Beautiful,18,FALSE
Should've Said No,9,TRUE
Tim McGraw,8,TRUE
A Place in This World,9.5,FALSE
Tied Together With a Smile,7,TRUE
Mary's Song (Oh My My My),16.67,TRUE
Teardrops on My Guitar,6.33,TRUE
The Outside,9,TRUE
Fearless,18.7,FALSE
Hey Stephen,20,FALSE
Breathe,1.3,TRUE
The Way I Loved You ,2,FALSE
White Horse,5.3,TRUE
Tell Me Why,7,TRUE
Love Story,19.25,FALSE
You Belong With Me,18.67,FALSE
You're Not Sorry,2.67,TRUE
The Best Day,18.67,TRUE
Fifteen,15.33,TRUE
Forever and Always,11.33,TRUE
Mine ,12.7,FALSE
Speak Now,7.7,FALSE
The Story of Us,9,FALSE
Better Than Revenge,11,TRUE
Last Kiss,2,TRUE
Innocent,8,FALSE
Long Live,11.3,FALSE
Dear John,4.7,TRUE
Back to December,4.33,TRUE
Mean ,11.67,TRUE
Enchanted,14.33,FALSE
Haunted,10,TRUE
Sparks Fly,18.33,FALSE
Never Grow Up,11.33,FALSE
Red,5.7,TRUE
All Too Well,6.3,TRUE
We Are Never Ever Getting Back Together,10.3,TRUE
Holy Ground,8.7,TRUE
Everything Has Changed,10.3,FALSE
Sad Beautiful Tragic,4.7,TRUE
Starlight,15.7,FALSE
State of Grace,13,FALSE
I Knew You Were Trouble,17,TRUE
I Almost Do,7.33,TRUE
The Last Time,9.7,TRUE
The Lucky One,17,FALSE
Begin Again,19.7,FALSE
Treacherous,9.7,FALSE
22,21.33,FALSE
Stay Stay Stay,18.33,FALSE
Welcome to New York,17,FALSE
Out of The Woods,12,FALSE
I Wish You Would,8.3,TRUE
How You Get the Girl,13,FALSE
Clean,9.7,FALSE
Bad Blood,7.3,TRUE
This Love,12,FALSE
Style,16,FALSE
Shake It Off,25,FALSE
Wildest Dreams,13,FALSE
I Know Places,13.7,FALSE
Blank Space,12.25,TRUE
All You Had to Do Was Stay,10.33,TRUE
